loan_amnt,term,installment,purpose,annual_inc,dti,int_rate_pct,revol_util_pct,delinq_2yrs,inq_last_6mths,open_acc,total_acc,emp_length_yrs,credit_history_years,default,dti_band,util_band,rate_band,early_warning_flag,risk_tier
30000.0, 60 months,988.0,debt_consolidation,75000.0,30.93,30.94,75.1,1.0,0.0,16.0,18.0,0.0,8.33972602739726,1,High,High,Very High,1,Watchlist
28000.0, 36 months,970.5,debt_consolidation,200000.0,33.13,14.99,67.3,0.0,2.0,21.0,98.0,10.0,18.17808219178082,0,High,High,Moderate,1,Watchlist
10625.0, 36 months,402.93,other,30000.0,22.48,21.48,84.5,0.0,2.0,8.0,18.0,10.0,15.515068493150684,1,Moderate,Very High,Very High,1,Watchlist
10000.0, 36 months,422.82,home_improvement,90000.0,36.31,29.69,56.5,0.0,3.0,18.0,37.0,7.0,21.265753424657536,0,High,Moderate,Very High,1,Watchlist
21600.0, 60 months,642.25,debt_consolidation,48000.0,24.08,25.65,93.0,0.0,4.0,10.0,14.0,1.0,11.846575342465751,1,Moderate,Very High,Very High,1,Watchlist
14000.0, 36 months,470.31,debt_consolidation,41000.0,30.97,12.79,36.6,0.0,2.0,11.0,31.0,6.0,18.51506849315069,0,High,Moderate,Moderate,1,Watchlist
35000.0, 60 months,808.42,debt_consolidation,295100.0,11.83,13.67,95.8,2.0,1.0,11.0,26.0,10.0,35.35890410958904,0,Low,Very High,Moderate,1,Watchlist
30000.0, 36 months,1000.59,home_improvement,200000.0,27.18,12.29,87.6,3.0,0.0,21.0,50.0,10.0,33.106849315068494,0,Moderate,Very High,Moderate,1,Watchlist
1600.0, 36 months,54.43,debt_consolidation,66750.0,30.78,13.66,87.0,2.0,1.0,10.0,31.0,10.0,16.926027397260274,0,High,Very High,Moderate,1,Watchlist
35000.0, 36 months,1172.39,credit_card,120000.0,27.55,12.59,86.8,0.0,2.0,9.0,23.0,1.0,20.6,0,Moderate,Very High,Moderate,1,Watchlist
24350.0, 36 months,839.94,debt_consolidation,53000.0,31.3,14.65,42.9,0.0,2.0,16.0,29.0,8.0,14.761643835616438,1,High,Moderate,Moderate,1,Watchlist
15000.0, 36 months,505.34,debt_consolidation,41000.0,32.23,12.99,35.0,0.0,3.0,12.0,30.0,10.0,35.6958904109589,0,High,Moderate,Moderate,1,Watchlist
2000.0, 36 months,71.58,other,30000.0,32.4,17.27,63.4,0.0,2.0,9.0,26.0,2.0,20.0986301369863,0,High,High,High,1,Watchlist
19000.0, 36 months,686.61,credit_card,80000.0,18.89,17.97,85.0,1.0,0.0,11.0,17.0,2.0,16.515068493150686,0,Low,Very High,High,1,Watchlist
24000.0, 36 months,791.77,debt_consolidation,165000.0,20.18,11.53,82.5,0.0,2.0,17.0,36.0,0.0,22.34794520547945,1,Moderate,Very High,Moderate,1,Watchlist
20000.0, 60 months,532.11,debt_consolidation,55000.0,36.83,20.2,49.5,0.0,2.0,11.0,20.0,1.0,15.515068493150684,1,High,Moderate,Very High,1,Watchlist
20000.0, 36 months,643.0,debt_consolidation,61000.0,34.37,9.75,63.1,1.0,0.0,16.0,31.0,10.0,23.435616438356163,0,High,High,Low,1,Watchlist
7200.0, 36 months,277.59,wedding,89000.0,10.58,22.7,98.8,0.0,4.0,11.0,27.0,6.0,19.013698630136982,0,Low,Very High,Very High,1,Watchlist
35000.0, 60 months,1002.01,credit_card,80500.0,31.78,23.76,94.3,1.0,1.0,9.0,17.0,7.0,24.101369863013694,1,High,Very High,Very High,1,Watchlist
2500.0, 36 months,88.58,other,38000.0,24.53,16.55,84.6,0.0,2.0,14.0,19.0,7.0,11.26027397260274,0,Moderate,Very High,High,1,Watchlist
